OBJECTID,NAME,FACILITYID,SUBSTATIONTYPE,DISTRICT,IMAP_VOLTAGE,IMAP_LOAD_PROFILE,EXIST_GEN,QUE_GEN,TOT_GEN,PROJ_LOAD,PENETRATION,Shape__Area,Shape__Length
25686,STREAMVIEW,SR,69/12 kV,CM,12kV,(576 Data Points),37.058,4.537,41.595,47.14449,63,25508885.8554688,19393.8777481077
25687,GARFIELD,GA,69/12 kV,EA,12kV,(576 Data Points),16.013,0.659,16.674,23.10119,53,16727148.9296875,16375.7432918218
25688,POINT LOMA,PTL,69/12 kV,BC,12kV,(576 Data Points),23.827,1.029,24.856,45.89112,27,25333333.5703125,19067.4501510944
25689,BORDER,BD,69/12 kV,CM,12kV,(576 Data Points),35.294,4.822,40.116,58.76822,60,40700894.06,26322.1297417854
25690,KEARNY WEST,KNY,69/12 kV,BC,12kV,(576 Data Points),36.802,12.241,49.044,82.4604,31,33862508.1132813,23942.663415469
25691,WARNERS,WR,69/12 kV,NE,12kV,(576 Data Points),2.13,0.2,2.33,3.52262,27,997001440.171875,122547.71866421
25692,PICO,PI,138/12 kV,OC,12kV,(576 Data Points),30.988,1.652,32.641,49.48167,52,71550867.1210938,33258.2332840451
25693,DIVISION,DI,69/12 kV,CM,12kV,(576 Data Points),0,,,,0,648702.96484375,4686.1599603087
25694,ESCONDIDO,ES,230/138/69/12 kV,NE,12kV,(576 Data Points),83.945,11.161,95.106,95.55667,74,105126811.097656,40434.5644673995
25695,MELROSE,ME,69/12 kV,NC,12kV,(576 Data Points),77.974,3.813,81.789,101.78927,67,126294768.773438,43119.1339776111
25696,EL CAJON,EC,69/12 kV,EA,12kV,(576 Data Points),43.975,4.631,48.603,94.28821,37,46693691.2851563,26413.0453594778
25697,CABRILLO,CB,69/12 kV,BC,12kV,(576 Data Points),21.45,0.321,21.771,19.13227,39,22418838.9453125,20688.9952522411
25698,WARREN CANYON,WC,69/12/4 kV,NE,12kV,(576 Data Points),0,,,,0,102451.68359375,3117.92351426632
25699,URBAN,UB,69/12 kV,CM,12kV,(576 Data Points),7.391,7.784,15.175,57.06026,8,6894510.07421875,11331.1016089202
25700,CORONADO,CR,69/12 kV,CM,12kV,(576 Data Points),16.653,0.998,17.651,32.32519,28,39323940.5664063,38047.1715774946
25701,OLIVENHAIN,OV,69/12 kV,NE,12kV,(576 Data Points),8.528,0.192,8.719,7.82924,28,24494467.75,20151.5640832147
25702,SCRIPPS,SS,69/12 kV,BC,12kV,(576 Data Points),54.752,4.602,59.354,71.13468,62,49570119.046875,26317.8880960092
25703,DESCANSO,DE,69/12 kV,EA,12kV,(576 Data Points),5.703,0.455,6.157,4.24767,76,442604019.953125,89497.3709707733
25704,RANCHO SANTA FE,SF,69/12/4 kV,NC,12kV,(576 Data Points),30.919,28.512,59.43,23.0075,52,74459474.9453125,33143.8866007395
25705,CARLTON HILLS,CH,138/12 kV,EA,12kV,(576 Data Points),31.537,5.341,36.879,41.52567,63,39817718.4804688,25561.8539922307
25706,SUNNYSIDE,SU,69/12 kV,CM,12kV,(576 Data Points),14.924,0.44,15.364,14.55701,50,25813357.94,20564.9793730682
25707,CREELMAN,CRE,69/12 kV,NE,12kV,(576 Data Points),84.862,6.423,91.287,57.64339,95,506184610.515625,84219.1584257874
